id,value
the,5918
to,5590
and,5437
i,4968
yo,3803
a,3638
t,3085
of,2952
we,2783
it,2523
that,2361
have,2266
they,2204
in,2062
going,2055
b,2025
so,1659
r,1637
o,1599
is,1534
s,1436
people,1327
know,1314
–,1300
be,1184
it’s,1107
are,1074
for,1064
this,1015
do,1000
we’re,982
was,978
he,978
not,962
se,958
co,950
with,944
don’t,888
all,822
what,808
st,781
beca,776
said,772
i’m,772
want,760
p,748
me,745
on,733
very,721
great,689
they’re,678
abo,642
ld,641
get,633
like,627
think,626
one,595
if,591
j,591
them,582
will,562
at,552
ntry,528
now,519
m,519
say,511
right,500
—,499
that’s,497
no,484
when,476
by,475
n,449
wo,424
these,420
ch,419
re,415
g,415
can,411
tr,406
look,398
been,398
from,392
go,391
money,390
lot,378
got,367
there,367
many,366
my,365
had,359
good,357
make,349
or,346
an,344
really,338
has,337
back,336
as,333
way,333
mean,327
over,321
who,319
even,314
take,307
he’s,307
she,300
time,294
than,293
some,291
see,289
never,287
tell,287
how,281
well,280
doing,279
then,279
i’ve,278
other,278
their,277
love,275
win,275
more,274
mp,268
’re,266
big,259
gh,255
did,251
l,248
here,245
again,244
things,243
thing,241
come,237
can’t,236
didn’t,234
believe,231
him,230
thank,229
y,227
everybody,226
where,222
world,220
tho,219
ever,216
deal,213
years,211
were,208
president,204
trade,203
into,201
e,201
ally,197
okay,197
which,197
china,195
something,189
million,188
jobs,188
need,186
happen,185
sho,185
act,180
america,177
why,175
down,170
talk,169
wall,169
bad,166
done,166
i’ll,163
those,162
let,160
000,159
better,159
only,157
new,157
came,156
ago,156
q,155
hillary,155
care,154
mexico,154
oh,154
mber,153
ldn’t,152
ght,151
states,150
every,148
nobody,147
nice,147
his,146
give,145
little,145
her,141
incredible,140
first,139
we’ve,138
what’s,137
two,137
remember,136
folks,136
ild,136
d,132
f,132
any,132
before,131
talking,131
saying,128
person,128
nited,128
bring,123
made,123
being,122
tremendo,121
work,120
probably,119
fact,118
problem,118
place,118
billion,117
somebody,117
doesn’t,116
clinton,116
h,116
iowa,116
military,115
there’s,115
seen,114
maybe,114
different,114
pay,114
coming,114
amazing,113
job,113
always,112
after,112
happened,112
day,111
nothing,111
obama,110
anything,110
sands,110
nd,110
won,110
poll,109
last,109
most,109
th,108
went,108
millions,107
year,105
man,105
deals,105
does,104
too,104
fo,102
don,102
long,101
’ve,100
wanted,99
immigration,98
thro,98
important,98
press,98
second,97
gro,97
getting,97
also,96
c,96
else,91
against,91
ys,90
saw,89
ilding,89
she’s,89
smart,89
american,88
anybody,88
anymore,87
nderstand,86
off,86
isis,86
happening,86
hard,86
everything,86
ntries,85
siness,85
iran,85
won’t,85
change,84
bea,84
they’ve,84
trillion,84
sed,84
whole,84
dollars,83
mbers,83
end,83
best,82
call,82
border,82
rep,82
gave,82
israel,82
today,80
started,79
ring,78
am,78
state,78
same,78
politicians,78
worst,77
totally,77
keep,77
days,77
away,76
tif,76
sec,75
ve,75
real,75
strong,75
horrible,75
left,75
story,74
tax,74
start,73
history,73
campaign,73
stop,73
called,73
iraq,72
